Category,Type,Cond_Price,IPTU_Price,Area,Bedrooms,Bathrooms,Garage,Property_Detail,Cond_Detail,Price,Zipcode,City,Neighboor,Address,Description
Casas,Venda - casa em rua pública,R$ 0,R$ 0,120m²,3,3,2,Ar condicionado,,R$ 350.000,60842250,Fortaleza,Messejana,Rua Paulo Setubal,"Código do anúncio: CA0285

LINDA CASA DUPLEX, LOCALIZADA ENTRE Á AV FREI CIRILO E BR 116, PERTINHO DO GRAND SHOPPING MESSEJANA !!!
120,00 m2 de área construída ;
3 quartos sendo 2 suítes e 3 banheiros ;
Toda reformada e projetada ;
2 vagas de estacionamento ;
Excelente espaço externo para personalizar o lazer privativo -"
Apartamentos,Venda - apartamento padrão,R$ 500,R$ 50,62m²,3,2,1,"Piscina, Ar condicionado, Mobiliado, Academia, Churrasqueira","Piscina, Condomínio fechado, Academia, Elevador",R$ 275.000,60720901,Fortaleza,Parangaba,Avenida General Osório de Paiva - até 1659 - lado ímpar,"Código do anúncio: Ap005

O apartamento está localizado no bairro Parangaba possui 62 metros quadrados com 3 quartos sendo 1 suite e 2 banheirosPossui área de fitness, área de recreação infantil.Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Churrasqueira para você aproveitar nos momentos de descontração.Encontra-se na privacidade de um condomínio fechado.Elevador para mais praticidade no dia-a-dia.Já tem os móveis incluídos.Aceito Proposta !! Recebo Carro!!"
Casas,Venda - casa em rua pública,R$ 0,R$ 0,83m²,2,2,1,,,R$ 160.000,60874805,Fortaleza,Pedras,Avenida Dionísio Leonel Alencar,"Código do anúncio: GE1A3N6HV

Casa com muito espaço para conforto da família. Com 2 quartos, 2 banheiros, sala, cozinha americana, área de serviço coberta, corredor de ponta a ponta, garagem e quintal.

Localizada no bairro Ancuri, que fica só a 15 minutos do Centro de Messejana.

Bairro com comércio e serviços como: Banco 24 horas, posto de gasolina, farmácia, academia, churrascaria, restaurante, escolas, posto de saúde e comércio em geral.

Com 3 linhas de ônibus, sendo 2 para o Terminal Messejana e 1 para o Centro de Fortaleza.

Aceita financiamento por todos os bancos.

E pela Caixa Econômica, o imóvel se enquadra no Programa Casa Verde Amarela.

Quer saber mais? Ou fazer uma análise de crédito?

É só chamar no whatsapp ."
Apartamentos,Venda - apartamento padrão,R$ 500,R$ 1.500,68m²,2,2,2,"Ar condicionado, Piscina, Academia, Mobiliado, Churrasqueira","Permitido animais, Piscina, Academia",R$ 1.150.000,60165120,Fortaleza,Meireles,Avenida Beira Mar - de 941/942 a 3498/3499,"Código do anúncio: FNTJIK

O apartamento no bairro Meireles com 68 metros quadrados com 2 quartos sendo 2 suites e 2 banheiros
Possui academia, espaço gourmet, espaço jardinado.
Vai lhe possibilitar curtir os dias mais quentes na piscina, todo o conforto do ar condicionado nos dias mais quentes.Espaço reservado para preparar o seu churrasco.
Já tem os móveis incluídos."
Casas,Venda - casa em condominio fechado,R$ 750,R$ 0,165m²,4,4,2,"Ar condicionado, Área de serviço, Piscina","Piscina, Condomínio fechado",R$ 599.000,60833096,Fortaleza,Sapiranga-Coité,Rua José Vilar de Andrade,"Código do anúncio: CA1211

Casa duplex em condomínio fechado na Rua José Vilar de Andrade, nº 1108, Sapiranga com 165 m² de área construída, 4 suítes com móveis e a máster com closet e varanda, sala de estar e jantar com móveis projetados, cozinha planejada, 2 vagas, quintal com deck privativo, condomínio com piscina, deck com churrasqueira e jardim. Localizada próximo ao Colégio Antares da Água Fria esta casa tem fácil acesso para shoppings, restaurantes, farmácias, colégios e demais serviços de utilidade no nosso dia a dia. -"
Apartamentos,Venda - apartamento padrão,R$ 1.350,R$ 0,125m²,4,5 ou mais,2,Área de serviço,"Permitido animais, Condomínio fechado, Elevador",R$ 450.000,60175000,Fortaleza,Aldeota,Rua Monsenhor Catão - até 1689/1690,"Código do anúncio: sabara

O apartamento já está desocupado, as fotos com os móveis são ilustrativas. Muito bem localizado no bairro Aldeota possui 125 m²  com     4 suítes,  lavabo, ampla sala, cozinha americana, área de serviço .
norte nascente, todo projetado e reformado.  Piso granito e Porcelanato
 Excelente localização, fica próximo ao colégio Ari de Sá, Espaço Inteligente, Casa da Tia creche,  Fazendinha,  Parque do Cocó.
 

Está em um condomínio fechado 
.

ligue ou envie uma mensagem via whatsap .85 9.9634.5414  


Visita somente com o corretor e horário previamente agendado.

                              CORRETORA HELAINE creci 8981


Nota: os preços, valores e informações contidas nessa pagina podem sofrer alterações sem aviso prévio.
Em atenção a lei 8.078/90, informa-se que algumas imagens podem tem caráter meramente ilustrativo.
Por esse motivo, as informações devem ser confirmadas."
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,163m²,4,5 ou mais,3,"Piscina, Academia, Churrasqueira, Varanda","Condomínio fechado, Piscina, Elevador, Academia, Permitido animais, Salão de festas, Portaria",R$ 1.590.000,60191355,Fortaleza,Manuel Dias Branco,Rua Bento Albuquerque - de 2501/2502 ao fim,"Código do anúncio: HP153

Apartamento com benfeitorias estruturais (cozinha ampliada, sala ampliada e banheiro da suíte master ampliado):
- 3 suítes (a master com banheiro ampliado);
- Infraestrutura para ar-condicionado na sala, varanda e nas 3 suítes;
- Varanda gourmet;
- Sala ampliada;
- Cozinha (ampliada) integrada com a varanda;
- Lavabo;
- Dependência completa (quarto de serviço com banheiro);
- Hall privativo (já integrado ao apartamento);
- Elevador com senha e biometria para acesso;
- 3 vagas de garagem; e
- Área de lazer completa (a melhor da região)."
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,77m²,3,2,2,"Academia, Área de serviço, Varanda, Piscina","Piscina, Academia, Salão de festas",R$ 890.301,60810250,Fortaleza,Guararapes,,"Código do anúncio: 316

Apartamento localizado no bairro Guararapes, Fortaleza/CE. 
Este imóvel tem uma localização privilegiada, pois fica próximo ao Shopping Iguatemi, um dos pontos mais conhecidos de Fortaleza. 
Seu condomínio conta com uma ampla área de lazer composta por campo de futebol, salão de jogos, academia, sauna e muito mais opções de diversão e relaxamento. 

 Agende agora a sua visita. 


 Informações do Apartamento:
 - 77,78m²; - Vagas na garagem para até 2 carros; - Sala de Estar; - Sala de Jantar; - Varanda; - Cozinha; - Área de Serviço; - 3 Quartos, sendo 2 suítes. 

 Informações do Condomínio:
 - Portaria 24 hr; - Portão eletrônico; - Hall Social; - Deck com churrasqueira; - Piscina adulto e infantil; - Sauna; - Sollarium; - Campo de futebol; - Playground; - Brinquedoteca; - Espaço Zen; - Academia; - Salão de festas; - Salão de jogos; - Área gourmet; - Bicicletário."
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,330m²,3,4,5 ou mais,"Mobiliado, Piscina, Churrasqueira, Varanda, Ar condicionado, Área de serviço","Elevador, Piscina",R$ 3.200.000,60170040,Fortaleza,Meireles,Rua Leonardo Mota - até 899/900,"Código do anúncio: AP0025

Edifício Casa Rosa

Na melhor Localização do Meireles, para quem busca unir conforto, requinte e comodidade.

- O Casa Rosa envolveu o levantamento e reconstrução de uma mansão de valor histórico local, que passou a abrigar o hall de entrada social do edifício.
- Área de lazer completa
- 1 unidade por andar
- Andar alto
- 317 m2 de área construída
- Sala 4 ambientes
-  Lavabo
- Ampla Varanda
- 3 suítes sendo a master com 2 closet individuais
- 5 vagas de garagem
- Dependência de empregada -"
Apartamentos,Venda - apartamento padrão,R$ 550,R$ 0,81m²,3,3,2,,,R$ 610.000,60811595,Fortaleza,Edson Queiroz,Rua Governador Manoel de Castro Filho,"Código do anúncio: 33643

Celebration Residence tem estilo único e sofisticado reunidos num so lugar. Esse e o padrao Celebration de morar e viver bem. Apartamento com excelente distribuição composto de 3 Suítes, sendo uma reversível, sala de esta/jantar, cozinha americana, área de serviço.  02 Vagas de Garagem. Lazer Completa: Piscina com raia,  2 ilhas de churrasqueira com forno de pizza,, Zen point ,quadra de tenis, quadra poliesportiva, pista de cooper, Child care, Fitness equipado e muito mais. Valor R$ 610.000,00Agende sua visita!
                    Atualizado em  :51."
Apartamentos,Venda - apartamento padrão,R$ 1.375,R$ 290,152m²,3,4,3,"Mobiliado, Churrasqueira, Área de serviço, Varanda, Academia, Piscina","Piscina, Elevador, Academia",R$ 1.400.000,60160080,Fortaleza,Meireles,Rua Tomás Pompeu,"Código do anúncio: AP0121

Apartamento projetado e decorado, alto padrão, 152m², 2 suítes (pode voltar a planta original com 3 suítes, passando apenas uma parede de gesso) ampla sala, lavabo, cozinha, DCE, 3 vagas.
Excelente área de lazer. -"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,123m²,3,3,2,"Academia, Churrasqueira, Piscina","Piscina, Academia, Salão de festas",R$ 1.428.097,60192055,Fortaleza,Cocó,Rua Bento Albuquerque - de 891/892 a 1899/1900,"Código do anúncio: 108

Ed. Brisas Residence, apartamento de 123,27m² no Cocó

ÁREA PRIVATIVA:
-Sala de Estar e Jantar
-Cozinha 
-Área de Serviço
-Varanda Gourmet
-Dependência Completa de Empregada 
-Lavabo
-Suíte Master com Closet 
-Suíte 01 com Closet
-Suíte 02
-Gabinete 
- 2 vagas

AREA DE LAZER:
-Piscina Adulto com Raia;
-Piscina Infantil;
-Deck com Churrasqueira;
-Quadra Poliesportiva;
-Fitness;
-Salão de Jogos;
-Playground;
-Salão de Festas;
-Brinquedoteca;
-Home Theater.

As informações estão sujeitas a alterações. Consulte o corretor responsável.
 


Chave do anúncio: smS7K7FRbsrsN9az"
Apartamentos,Venda - apartamento padrão,R$ 720,R$ 680,60m²,3,2,2,Churrasqueira,"Elevador, Condomínio fechado, Permitido animais",R$ 390.000,60115221,Fortaleza,Aldeota,Avenida Rui Barbosa - de 791/792 a 2099/2100,"Código do anúncio: AP - 467

Confira essa EXCELENTE OPORTUNIDADE!
Se suas prioridades são:
1. Morar em um AP em área obre, bem localizado e com tudo perto;
2. Ter duas vagas de garagem soltas, dando maior comodidade no dia a dia;
3. Uma planta compacta e com 3 quartos;
4. Com valor acessível, ou seja, com excelente custo-benefício
Esse é o imóvel ideal! AGENDE SUA VISITA E NÃO PERCA ESSA CHANCE!

# APARTAMENTO:

- 60,50 m2;
- 03 quartos, sendo 1 suíte;
- 1 wc social;
- Cozinha + área de serviço;
- Sala ampla com varanda integrada;
- Gás canalizado e incluso no condomínio;
- Andar baixo, porém tem a vista livre, sem prédios em frente, propiciando mais privacidade;

# CONDOMÍNIO:

- Portaria 24h;
- Salão de festa equipado;
- Pátio e jardim;
- Prédio revestido;
- Condomínio bem cuidado e organizado;
- Torre única, com 17 andares, 3 aptos por andar;
- 2 elevadores;
- Gerador;
- Deck com churrasqueira na cobertura do prédio;
- Taxa condomínio aproximadamente de 720,00, com água incluso e gás inclusos;

# INVESTIMENTO

- R$ 390.000,00, financiável!!
- iptu: R$ 680,00/ANO

Agende sua visita e confira essa excelente oportunidade de sair do aluguel.

* valores e condições sujeitos a alteração sem prévio aviso.

> exija o Creci do seu corretor!

# CONTATO:
Benício Andrade
Corretor e Avaliador de imóveis
(85)9.8898.0091 - whatsapp
Creci 10748 / Cnai 9660
insta: benicioandradecorretor"
Apartamentos,Venda - apartamento padrão,R$ 380,R$ 0,64m²,3,2,1,"Piscina, Churrasqueira, Academia","Condomínio fechado, Academia, Piscina, Portaria, Salão de festas",R$ 420.000,60762080,Fortaleza,Mondubim,Rua Mirtil Meyer,"Código do anúncio: jbv390

Excelente apartamento a poucos metros da Av Godofredo Maciel, totalmente nascente, sala de estar e jantar com varanda, 03 quartos, ste, armários projetados. 
Possui área de fitness, espaço gourmet, área de brinquedo para as crianças, espaço para festas.
Vai lhe possibilitar curtir os dias mais quentes na piscina.Churrasqueira para você aproveitar nos momentos de descontração.
Está em um condomínio protegido por grades."
Casas,Venda - casa em rua pública,R$ 0,R$ 0,500m²,5 ou mais,5 ou mais,2,Área de serviço,,R$ 750.000,60822630,Fortaleza,Cidade dos Funcionários,Rua Teofredo Goiana,"Código do anúncio: CA1250

Excelente casa próximo a Igreja da Glória, Cidade dos funcionários, com 05 quartos sendo 03  suítes, piscina, deck e churrasqueira, 02 vagas de garagem.

*Estrutura preparada para clínicas, cursos ou escritórios.

Ótima oportunidade de negócios.

Agende sua visita com a Equatorial Imóveis -"
Apartamentos,Venda - apartamento padrão,R$ 1.103,R$ 1.600,134m²,3,4,2,,"Condomínio fechado, Salão de festas, Elevador, Portaria, Permitido animais",R$ 671.000,60175010,Fortaleza,Aldeota,Travessa Monsenhor Catão,"Código do anúncio: AP077

AP077
Apartamento com 3 suítes na Aldeota.
Apartamento com 134,12², salas estar/jantar, varanda, 03 suítes, wc social, hal circulação, cozinha tradicional, área de serviço, despensa, DCE, 02 portas (social/serviço), piso granito na sala, varanda, demais dependências com cerâmica, nascente total, muito ventilado, 02 vagas garagem. 
Prédio com 20 pavimentos, 2 unidades por andar = 40 unidades
Condomínio com amplo recuo da rua, espaçoso pátio interno de convivência, jardins, guarita elevada, eclusa, portaria 24hs segurança, hal social, salão de festas, 02 elevadores.
IPTU R$ 151/mês.
Taxa do condomínio R$ 1.103,00
Valor de venda R$ 671.000,00"
Apartamentos,Venda - apartamento padrão,R$ 1.100,R$ 0,177m²,3,4,4,,,R$ 850.000,60810220,Fortaleza,Engenheiro Luciano Cavalcante,Rua Gontran Giffoni,"Código do anúncio: AP0927

Apartamento com 177m2, 3 suítes, Gabinete, Varanda, lavabo, DCE, 4 vagas de garagem, sala 2 ambientes, lavabo, varanda, cozinha ampla com armários, Área De Serviço, dependência de empregada com banheiro, nascente total, bastante ventilado, 4 vagas de garagem.
Área de lazer completo com : piscina, sauna, academia, deck, churrasqueira, quadra de esportes, amplo salão de festas climatizado, jardim e recepção decorada. -"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,81m²,3,3,1,"Churrasqueira, Área de serviço, Piscina","Elevador, Piscina",R$ 660.000,60811595,Fortaleza,Edson Queiroz,Rua Governador Manoel de Castro Filho,"Código do anúncio: AP8013

(AP8013) Apartamento para venda possui 81 metros quadrados com 3 quartos em Edson Queiroz - Fortaleza - CE
O apartamento está localizado no bairro Edson Queiroz possui 81 metros quadrados com 3 quartos sendo 3 suites e 3 banheiros
Possui academia, espaço gourmet, espaço jardinado, playground, balcão externo espaçoso.
Nossa equipe está a sua disposição! Quer alugar um imóvel? Entre em contato com nosso setor de locação:  (Whatsapp) 
Quer comprar um Imóvel? Entre em contato com nosso setor de vendas:  (WhatsApp). 
É proprietário, tem imóvel para vender ou alugar? Entre em contato com nosso setor de captação:  (Whatsapp) 
Siga nossas redes sociais: Instagram: @setaimobiliaria FaceBook: /setaimobiliaria IMÓVEIS? SIGA A SETA!  
Rua Barão de Aratanha, 1184  Fátima  Fortaleza/CE"
Casas,Venda - casa em rua pública,R$ 0,R$ 0,300m²,3,1,3,,,R$ 350.000,60767725,Fortaleza,Mondubim,Rua 1 (Lot Prq Santana I),"Código do anúncio: 105

A casa no bairro Mondubim próximo ao balão costa e silva com godofredo maciel,  tem 300 metros quadrados de área construída com 3 quartos sendo 1 suite e 1 banheiro. ACEITO CARRO, MOTO, LOTE MENOR VALOR."
Casas,Venda - casa em rua pública,R$ 0,R$ 0,140m²,2,2,1,"Área de serviço, Ar condicionado, Varanda",,R$ 113.620,60440145,Fortaleza,Demócrito Rocha,Rua Estado do Rio - de 100/101 ao fim,"Casa a venda com 2 quartos e garagem 

VEM COMPRAR SUA CASA PARCELADA 
Entrada de R$9.184,39 e parcelas fixas no boleto 

Facilitamos para autônomos e negativados 

Whatsapp (85)... ver número

2 banheiros 
2 quartos 
Garagem ampla 
Área de serviço 
Cozinha americana 
Vizinhança calma 

Planos especiais para autônomos e negativados 

Whatsapp (85)... ver número


I.M.I"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,118m²,3,5 ou mais,2,"Piscina, Churrasqueira, Varanda, Academia","Permitido animais, Salão de festas, Piscina, Elevador, Condomínio fechado, Academia, Portaria",R$ 1.290.000,60120020,Fortaleza,Meireles,Rua Silva Paulet - até 764/765,"Código do anúncio: P9HNU5

Visitas: (85) 98518.0000 

A duas quadras da Av. Beira-Mar 

- 118 m² com 03 Suítes | Lavabo | Varanda Gourmet | Cozinha com Área de Serviço e Banheiro de Serviço.

Lazer Completo! 

As informações deste anúncio podem sofrer alterações sem aviso prévio. Verificar disponibilidade.




_______________________________________________________

Para busca# Aldeota - Prime Meireles - La Reserve - Toscana - Turris - Vanguardia - Arvoredo - Solar Bezerra de Menezes - Vivenda Las Palmas - Sonate Condominium - Soneto - Azurra - Absoluto - Essenza"
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,111m²,3,4,3,"Churrasqueira, Área de serviço, Varanda, Piscina","Elevador, Piscina",R$ 1.153.000,60175070,Fortaleza,Meireles,Rua Frei Mansueto - até 1330 - lado par,"Código do anúncio: AP0997

MARAVILHOSO apto na área nobre de Fortaleza!!
O cond. San Paolo é tudo de mais mordeno e de uma estrutura incrível para você aproveitar com sua família. Com uma área de lazer super completa,  espaço Fitness, brinquedoteca, salão de festas, salão de jogos, e muito mais... Aproveite e não perca esta oportunidade e agende uma visita conosco! -"
Apartamentos,Venda - apartamento padrão,R$ 400,R$ 0,55m²,2,2,2,"Churrasqueira, Varanda, Piscina, Academia","Academia, Condomínio fechado, Permitido animais, Portaria, Salão de festas, Piscina, Elevador",R$ 280.000,60871210,Fortaleza,Messejana,Rua Aveledo,"Código do anúncio: StAng14

O apartamento no bairro Messejana tem 55 metros quadrados com 2 quartos sendo 1 suíte com closed, 2 banheiros, cozinha americana com lavanderia, sala jantar, sala tv com varanda, 2 vagas de garagem, 
Possui academia, piscina adulto e infantil com deck com churrasqueira, parque infantil, brinquedoteca, salão de festa, salão de jogos, portaria 24 horas, e muito mais."
Apartamentos,Venda - apartamento padrão,R$ 584,R$ 0,77m²,3,3,2,,,R$ 570.000,60811120,Fortaleza,Engenheiro Luciano Cavalcante,Rua Doutor Francisco Gadelha,"Código do anúncio: AP1361

OPORTUNIDADE

PARC VICTORIA
TORRE FELICIDADE
AREA PRIVATIVA DE 76,50
3 QUARTOS SENDO DUAS SUITES
VARANDA GOURMET
2 VAGAS DE GARAGEM
LAZER SUPER COMPLETO -"
Casas,Venda - casa em condominio fechado,R$ 800,R$ 0,120m²,3,3,2,"Churrasqueira, Piscina, Porteiro 24h","Portão eletrônico, Permitido animais, Piscina, Condomínio fechado",R$ 390.000,60834195,Fortaleza,Edson Queiroz,Rua Doutor Correia Lima,"Código do anúncio: CA1019

Casa Duplex em condomínio fechado na Sapiranga.
Imóvel de 120 m² construídos disposto em sala em 02 ambientes com móveis projetados, wc social, cozinha convencional 100% projetada com copa e despensa, excelente área externa (quintal) , onde pode ser construído um deck privativo para você desfrutar com sua família e amigos, no pavimento superior dispõe de 03 dormitórios, sendo 02 suítes ( 01 reversível ), quarto com armários projetados, suíte Master muito ampla com a possibilidade de integrar a varanda, 02 vagas. 
Condomínio dispõe de quadra poliesportiva, piscina adulto e infantil, deck com churrasqueira.
(Projeto está sendo realizado em 2021), portaria 24 horas. 
Vamos agendar uma visita !"
Apartamentos,Venda - apartamento padrão,R$ 1.500,R$ 491,217m²,3,4,2,"Varanda, Área de serviço, Mobiliado, Ar condicionado",Elevador,R$ 1.590.000,60150190,Fortaleza,Aldeota,Rua Marcos Macêdo,"Código do anúncio: AP0246

Condomínio Ed. Palais Royal
Rua Marcos Macêdo, 843 - AP. 1002

*Apartamento de alto padrão todo mobiliado e decorado.
**Ar condicionado em todas as suítes, no gabinete e na sala.

- 216 m2 | Nascente (excelente ventilação);
- 03 suítes + gabinete + banheiro social;
- Sala ampla com 03 ambientes (com 02 ar condicionados de teto);
- Ampla varanda mobiliada e com cortina de vidro em toda sua extensão;
- Cozinha com armários planejados, repleta de utensílios e com eletrodomésticos (Geladeira e fogão);
- Área de serviço com armários e máquina de lavar;
- Dependência completa de empregada (DCE);
- 02 vagas de garagem.

Venda: R$ 1.590.000,00
Condomínio: R$ 1.500,00
IPTU: R$ 490,72

Àrea Comum:
- Recepção com pé direito duplo toda mobiliada e decorada;
- Quadra poliesportiva;
- Sala de ginástica repleta de equipamentos modernos;
- Salão de festas.

Observação:
1. A mobília pode ser negociada a parte;
2. O imóvel está atualmente alugado com prazo de locação próximo ao final. -"
Apartamentos,Venda - apartamento padrão,R$ 467,,83m²,3,3,1,Área de serviço,"Condomínio fechado, Segurança 24h, Permitido animais, Salão de festas",R$ 229.000,60410364,Fortaleza,Parreão,Rua Alberto Montezuma - até 274/275,"Apartamento no 2º andar, possui 83m², frente privativa (não tem apartamento na frente) com 3 quartos, sendo 2 suítes (uma voltada para o nascente), sala de estar e jantar, banheiro social, cozinha, área de serviço, janelas protegidas com grades de alumínio, 1 vaga de garagem (cabendo dois carros pequenos), guarda-roupas na suíte do casal, água inclusa na taxa de condomínio que pagando até o vencimento tem desconto de R$45,00(Quarenta e cinco reais) ficando o valor R$467,01.

Localizado no bairro Parreão/Fátima. Com ótima logística. Vizinho ao Colégio Antares (Fátima), ao lado de uma pracinha, próximo à Rodoviária, Supermercados (G Barbosa, Ofertaço), Estação de VLT, Hospital Infantil Albert Sabin, Shoppings, farmácias e outros estabelecimentos comerciais. Acesso fácil para a Av. Borges de Melo e Luciano Carneiro.
A 2km da Av. 13 de Maio e a 7km da Praia de Iracema.

Áreas de convivência com quadra poliesportiva, playground, deck com churrasqueira, salão de festas, portaria remota com a empresa Locktec tecnologia e segurança. Ótima administração. Em breve terá pintura nova na área externa dos blocos, tornando-o mais valorizado."
Apartamentos,Venda - apartamento padrão,R$ 750,R$ 450,121m²,3,2,1,Piscina,Piscina,R$ 315.000,60010450,Fortaleza,Jacarecanga,Avenida Francisco Sá - até 2399/2400,"Código do anúncio: REO536957

Lindo apartamento á venda em uma localização fantástica na Av. Fco Sá. Próximo ao Centro Fashion, o maior Polo de Moda do Ceará, perto também de farmácias, escolas, bancos, shopping Riomar Kennedy, fácil acesso á praia da Leste e muito mais! O apartamento conta com uma sala ampla, muito ventilada, varanda com vista e ventilação privilegiada, 3 quartos sendo 1 suíte, banheiro social e cozinha espaçosa. O apartamento possui duas entradas, uma de serviço e outra principal. Já o condomínio possui portaria, conta com piscina adulto descoberta, amplo espaço verde e vagas de garagem cobertas.  Agende sua visita guiada e conheça esse excelente imóvel! - Ref.: REO536957"
Apartamentos,Venda - apartamento padrão,R$ 900,R$ 0,70m²,3,2,2,Varanda,,R$ 435.000,60110371,Fortaleza,Aldeota,Rua Antônio Augusto - de 911/912 a 2099/2100,"Código do anúncio: SSAP147

SAN SIRO IMÓVEIS - Belo apartamento compacto, funcional e projetado, c/ ótima localização (excelente posição em relação às demais regiões da cidade!) e ampla rede de serviços ao redor (supermercados, bancos, escolas, etc). IMPERDÍVEL!
. O imóvel c/ 70,75m possui: 03 Dormitórios (sendo 01 Suíte com Varanda Privativa e WC c/ Blindex/Armários + 01 Quarto com Armários Projetados + 01 Quarto), Sala de Estar, Sala de Jantar, Varanda (Sala), WC Social c/ Blindex/Armários, Cozinha Planejada, Área de Serviço, Piso em Cerâmica, 100% Nascente, 02 VAGAS de Garagem no Subsolo.

NASCENTE TOTAL - ANDAR ALTO - VENTILADO - MÓVEIS PROJETADOS C/ EXCELENTE QUALIDADE - PERTO DE BANCOS, SUPERMERCADOS, ESCOLAS, FARMÁCIAS - FÁCIL ACESSO P/ QUALQUER REGIÃO DA CIDADE - OPORTUNIDADE IMPERDÍVEL!!!

A estrutura do Condomínio oferece: Salão de Festas Equipado e Climatizado, Playground, Praça de Convivência c/ Jardim Gramado, Recepção Decorada, Sistema de Segurança com Cerca Elétrica e Câmeras, Guarita Elevada, Interfone, Portão Eletrônico, Vestiários para Diaristas, Grupo Gerador, Poço Profundo, Central de Gás (Consumo Individual), 02 Elevadores.

*** AGENDE VISITA C/ PEDRO BENEVIDES - F: (85) 3082.3350 / 99992.2070 ***
Link do imóvel no site da imobiliária: http://www.sansiroimoveis.com.br/imovel/1349956-apartamento+-+03+quartos+(01+suite)+-+aldeota?origem=I"
Apartamentos,Venda - apartamento padrão,R$ 1.200,R$ 0,182m²,3,5 ou mais,3,Área de serviço,"Elevador, Salão de festas",R$ 580.000,60140200,Fortaleza,Aldeota,Rua Paula Ney,"Código do anúncio: AP0112

Maravilhoso apartamento de 182,04m² de espaçosa área privativa, com 3 suítes sendo 01 com closet, conta com duas salas: sala em L de estar e jantar, segunda sala de TV que pode ser também utilizada como escritório, hall dos dormitórios, varanda estendida, lavabo, cozinha, despensa, área de serviço e lavanderia, dependência completa, móveis projetados, andar alto, 3 vagas de garagem, posição leste.

Muito conservado com seus pisos de taco e laminado de madeira, cerâmica e porcelanato, móveis e pintura em bom estado, gás externo encanado.

Condomínio muito tranquilo com salão de festas, portaria eletrônica e eclusa, recepção, sistema de câmeras, elevador. Uma torre com 13 apartamentos, 2 por andar mais cobertura. Documentação em ordem, aceita financiamento.

Localizado próximo ao Supermercado Cometa da Av. Pe. Antônio Tomás.

Robson Santos
Corretor de Imóveis
 Tim WhatsApp

Ou

Gerfson Rodrigues
Corretor de Imóveis
 Oi WhatsApp -"
Apartamentos,Venda - apartamento padrão,R$ 395,R$ 0,72m²,3,1,2,"Academia, Piscina, Churrasqueira","Academia, Elevador, Salão de festas, Condomínio fechado, Portaria, Piscina",R$ 434.000,60355337,Fortaleza,Presidente Kennedy,Rua Coronel Luiz David de Souza,"Código do anúncio: RR 0003

O apartamento no bairro Presidente Kennedy possui 72 metros quadrados com 3 quartos sendo 1 suite e 1 banheiro
Possui área de fitness, espaço gourmet, espaço jardinado, área de brinquedo para as crianças, salão para festas e eventos.
Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Churrasqueira para você aproveitar nos momentos de descontração.
Elevador para mais praticidade no dia-a-dia.
Está em um condomínio protegido por grades."
Apartamentos,Venda - apartamento padrão,R$ 330,R$ 670,117m²,4,2,1,"Armários na cozinha, Churrasqueira, Piscina","Piscina, Condomínio fechado, Permitido animais, Portaria",R$ 250.000,60182130,Fortaleza,Vicente Pinzon,Rua Visconde de Cairu,"Código do anúncio: AP0040

O apartamento no bairro Vicente Pinzon com 117 metros quadrados com 4 quartos e 2 banheiros, todo reformado, pronto pra morar.
Possui jardim.
Vai lhe possibilitar curtir os dias mais quentes na piscina. Espaço reservado para preparar o seu churrasco.
Encontra-se em um condomínio protegido por muros."
Casas,Venda - casa em rua pública,,R$ 130,55m²,1,1,,Varanda,,R$ 50.000,60831370,Fortaleza,Lagoa Redonda,Avenida Professor José Arthur de Carvalho,"1 sala em baixo
Sala..cozinha..banheiro...e quarto em cima
Varanda
Parte superior forrada
Parte superior com cerâmica 
Casa registrada na prefeitura (paga IPTU)
Água e energia legalizadas 
Documentos de compra e venda em cartório 

TROCO EM AUTOMÓVEL 
A MESMA FICA SITUADA NA RUA TRAVESSA VITALINO....NÚMERO 141

MONDUBIM "
Apartamentos,Venda - apartamento padrão,R$ 0,R$ 0,37m²,2,1,1,"Churrasqueira, Piscina","Piscina, Elevador",R$ 182.990,60762376,Fortaleza,Mondubim,Rua Monte Líbano,"Código do anúncio: AP0522

Lançamento de apartamentos com 2 quartos no Mondubim

Seus sonho nas alturas. Seu apartamento no condomínio mais alto da região do Mondubim. Condomínio de torre única, lazer de condomínio clube, pet place, vagas rotativas, 17 pavimentos, 204 unidades tipo, 12 apartamentos por andar, 4 elevadores, opções de 2 quartos com varanda, 2 quartos com giardino e 1 e 2 quartos PNE. Opções de giardino com 19,08m2, 22,24m2, 23,2m2 e 31,72m2.

Unidades com enquadramento dentro do Programa Casa Verde Amarela com subsídio de até R$ 23 mil, entrada facilidade, FGTS na entrada e crédito finaciado pela Caixa.
Aproveite as condições especiais de lançamento e garanta a sua unidade. Verçosa Imobiliária, o imóvel que você busca está aqui. -"
